title,artists
On My Way,Alan Walker
 03:19 ,Sabrina Carpenter
Sucker,Farruko
 03:01 ,Alan Walker
Here With Me,Sabrina Carpenter
 02:36 ,Farruko
I Can't Get Enough,Alan Walker
 02:38 ,Sabrina Carpenter
Taki Taki,Farruko
 03:33 ,Alan Walker
7 rings,Sabrina Carpenter
 02:58 ,Farruko
No Sleep,Jonas Brothers
 03:27 ,Jonas Brothers
Without Me,Jonas Brothers
 03:21 ,Jonas Brothers
Believer,Marshmello
 03:39 ,CHVRCHES
Told You So,Marshmello
 02:59 ,CHVRCHES
365,Marshmello
 03:01 ,CHVRCHES
Talk,Marshmello
 03:17 ,CHVRCHES
Sunflower,Selena Gomez
 02:38 ,J Balvin
My Bad,Tainy
 02:46 ,Benny Blanco
SouthSide,Selena Gomez
 04:12 ,J Balvin
MIA (feat. Drake),Tainy
 03:30 ,Benny Blanco
Con Calma,Selena Gomez
 03:12 ,J Balvin
Hope,Tainy
 03:00 ,Benny Blanco
Who Do You Love,Selena Gomez
 03:46 ,J Balvin
"break up with your girlfriend, i'm bored",Tainy
 03:09 ,Benny Blanco
So Am I,DJ Snake
 03:04 ,Selena Gomez
Diamond Heart,Ozuna
 04:00 ,Cardi B
I Guess I Just Feel Like,DJ Snake
 04:45 ,Selena Gomez
This Feeling,Ozuna
 03:17 ,Cardi B
Remind Me,DJ Snake
 02:31 ,Selena Gomez
Please Me,Ozuna
 03:20 ,Cardi B
Different World,DJ Snake
 03:23 ,Selena Gomez
"thank u, next",Ozuna
 03:26 ,Cardi B
Throwaway,Ariana Grande
 03:00 ,Ariana Grande
Better,Ariana Grande
 02:54 ,Ariana Grande
Wow.,Martin Garrix
 02:30 ,Bonn
Are You Lonely,Martin Garrix
 02:37 ,Bonn
No New Friends,Martin Garrix
 02:57 ,Bonn
bury a friend,Martin Garrix
 03:12 ,Bonn
Close To Me,Halsey
 03:02 ,Halsey
Someone New,Halsey
 02:56 ,Halsey
What I Like About You,Imagine Dragons
 03:40 ,Lil Wayne
Fire On Fire,Imagine Dragons
 04:07 ,Lil Wayne
Two of Us,Imagine Dragons
 03:37 ,Lil Wayne
With You,Imagine Dragons
 03:14 ,Lil Wayne
Contra La Pared,HRVY
 03:45 ,HRVY
Think About You,HRVY
 03:28 ,HRVY
11 Minutes,Zedd
 03:59 ,Katy Perry
Dancing With A Stranger,Zedd
 02:51 ,Katy Perry
Anxiety,Zedd
 03:32 ,Katy Perry
Hey DJ (Remix),Zedd
 03:09 ,Katy Perry
Waste It On Me,Khalid
 03:12 ,Khalid
Bad Liar,Khalid
 04:20 ,Khalid
Arms Around You (feat. Maluma & Swae Lee),Post Malone
 03:18 ,Swae Lee
Bola Rebola,Post Malone
 03:13 ,Swae Lee
